"","YEAR","DIA_GROW","BA_GROW","NETVOL_GROW","BIO_GROW","BA_GROW_AC","NETVOL_GROW_AC","BIO_GROW_AC","DIA_GROW_SE","BA_GROW_SE","NETVOL_GROW_SE","BIO_GROW_SE","BA_GROW_AC_SE","NETVOL_GROW_AC_SE","BIO_GROW_AC_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"11",2004,0.010713545551722,0.000861188728818744,0.0273970749263028,0.000616570015605088,2.05410603466373,65.3474610791122,1.47064185522298,44.1540338971821,35.2635215374697,41.0890997441676,49.0885544327661,51.7128363924759,57.3526812219172,65.6611651723875,14,14,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
"12",2004,0.00842917431197585,0.000485907220151246,0.0300791402414195,0.000669606951273933,1.38708501012774,85.8647964387449,1.91147965346204,11.9411923935312,7.80584244469813,53.186980892923,50.2763053525387,11.2374463153482,34.1436921328767,31.2330165924924,2,2,133518708.529,672812.62891,1750,1802,"231","231A","231Ab","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Piedmont Ridge",0,32993.2361935,13351.8889786,50
"13",2005,0.00815451993573304,0.000954290855816272,0.0189270905790295,0.000388188202381413,1.91140516857383,37.9101806732468,0.777524935808534,37.9625885655443,22.2280238221648,18.4253847353721,21.1329056729637,18.9205125720593,17.027379853606,19.9036036864587,73,73,66925662633.2,4001953.55157,937,1097,"M221","M221D","M221Da","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Northern Blue Ridge Mountains",1,1536401.80517,621759.751264,33
"14",2005,0.0136768072970578,0.000955511923366213,0.0222347407096951,0.000543062384967475,1.81962867656027,42.3427178895986,1.03418059438417,31.6741785088267,19.6360094395959,22.3330237483438,24.1826543228421,20.4110990090625,24.4157649496571,26.2534298942367,62,62,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"15",2005,0.00777097279025521,0.00105775743064254,0.0433065524010933,0.000897554411449267,2.00726424517876,82.1811236663875,1.70325334146806,25.0323044736701,10.1290589107507,9.79442434018591,12.2984483669005,10.6154040109412,10.1585954213939,12.6625970737545,31,31,35366794325.2,2508208.44375,1022,1177,"221","221D","221De","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Northern Appalachian Piedmont","Northern Piedmont",1,811909.878907,328568.270786,35
"16",2005,0.0165225231365819,0.00224655070280177,0.108631393438171,0.00276352836516937,4.88264926595256,236.099275555542,6.00624758960712,0,0,2.17918645580172e-06,2.3182830939478e-06,4.62851085801572,4.62851085801551,4.62851085801519,1,2,73540579.7495,391677.050662,1041,1194,"221","221D","221Dd","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Northern Appalachian Piedmont","Triassic Basins",0,18172.3514826,7354.08973076,36
"17",2005,0.00650277272533732,0.000647990741281184,0.0118535492300475,0.000291413192032308,1.43847798239189,26.3137549572219,0.646909645172095,32.2477675258993,22.4882814622012,31.99728278678,28.2486346802862,21.6675630030549,31.2381242948873,27.5472843861232,85,85,67705985195.9,2552005.1041,1060,1206,"M221","M221A","M221Aa","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Ridge and Valley",1,1554315.54628,629009.18509,37
"18",2005,0.0238810698247404,0.00144607633799594,0.0289675128971984,0.000703891936230334,3.13791532849559,62.8580942514308,1.52741127025329,49.5823290230165,37.2447290039932,48.6107521068195,38.8676643076142,34.613255611696,45.8173043581913,36.1234512081266,14,14,1465417881.38,756520.343672,1135,1289,"231","231I","231Ib","Humid Temperate","Subtropical","Southeastern Mixed Forest","Central Appalachian Piedmont","Lynchburg Belt",0,362112.572613,146541.759011,38
"19",2005,0.0130655373075583,0.00161639015615067,0.0544457612227867,0.00121404185344072,3.31888490662941,111.791830991212,2.49275533389553,26.1164851577945,23.0384049448848,16.1185129931105,15.8065867177921,26.1817916190534,18.8946969437354,18.6996740783334,4,4,203773157.609,683810.759135,1225,1359,"M221","M221C","M221Cb","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Cumberland Mountains","Eastern Coal Fields",0,50353.8357549,20377.4743617,39
"20",2005,0.00219896931227174,0.000793822224803903,0.0298306726947547,0.00058306093284607,1.65354507093716,62.1377938987994,1.21452574825781,121.668227075863,26.2960385194209,21.3550328163069,19.5806555479106,28.7375882442913,22.569902407802,19.202366068386,5,5,528512343.335,497240.891198,1391,1511,"M221","M221D","M221Db","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Central Blue Ridge Mountains",0,130598.19039,52851.2125532,41
"21",2005,0.00610577077955299,0.000601222432710743,0.0180298470769874,0.000400778557178749,1.44041178119684,43.1959998993664,0.960187318374864,41.9822441114223,22.9114644048077,23.3602404756,21.2110677127971,22.2306448792587,22.693157024131,20.4681292378238,162,162,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"22",2005,0.00869972943058701,0.000971994465060476,0.0402977825511651,0.00108533923839847,2.06521947136039,85.6216451522027,2.3060457736583,0,1.74289776964836e-06,2.6905095068014e-06,0,NA,2.52903020961441e-06,NA,1,1,47382559.6696,367672.584936,1521,1612,"221","221J","221Jc","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Holston Valley",0,11708.4878439,4738.25692275,44
"23",2005,-0.00291844231132652,0.000103343798050757,0.0129698312347814,0.00032140135569273,0.237741254961902,29.8369521205964,0.739380234615705,-167.368677494873,292.353479714243,54.9081554174712,45.5519660265743,291.33080332014,53.8105080135022,44.5527154055821,102,103,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"24",2005,-0.000926242816834251,0.000274784469710117,0.0158422972719618,0.000420943539050864,0.659654913320891,38.0314405860142,1.01052826623907,-751.136984076819,173.697218152884,88.8839335540196,72.4332681031631,176.367932827324,91.9871405714505,75.5406996768228,20,20,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"25",2005,0.00482264613692521,0.000542228832903198,0.0191892689512425,0.000506907824546044,1.32277861644718,46.8126242901011,1.23661227535455,91.9090439537457,42.8337539718967,38.8179228027589,35.5306305629443,45.6902807866361,39.8930833826243,36.3626185493854,23,23,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"26",2005,0.0187622650320292,0.00117420858730022,0.0268002209266344,0.000616834004404572,2.52328392069716,57.5916129950922,1.32552882161417,41.7389268155645,32.4610400817063,42.7576811790521,39.5331838451177,32.786570726956,43.7118996558289,41.1317559731498,16,16,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
"27",2005,0.0156556669109025,0.001499457386584,0.044403601982234,0.000911615506213005,2.43709469332058,72.1699620965916,1.48166485584618,32.9039490998092,18.6322212939839,24.3275817632289,30.3595446704627,29.7283329254851,35.4232169510291,41.4565436428886,3,3,133518708.529,672812.62891,1750,1802,"231","231A","231Ab","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Piedmont Ridge",0,32993.2361935,13351.8889786,50
"28",2006,0.012937003200081,0.000597651120368258,0.0124053834718131,0.000258277807606146,1.18216497568788,24.5380780702266,0.510878282904084,73.9722346712751,65.7222078582491,65.9113008921688,68.2711309641268,67.0406940710981,68.7516407659509,70.9193681198936,14,14,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2
"29",2006,0.0109690880015267,0.000543933889122812,0.00974997025430443,0.000181652704721474,1.36939417919755,24.5462781058291,0.457324247404841,20.3106117943157,16.6847806268077,17.4091589667767,20.6611559093714,16.0546175399393,17.0354462798529,20.6781316239373,133,135,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3
"30",2006,0.0172147857563337,0.000763363312249089,0.0137289991350392,0.000224421976165931,1.14013413152732,20.5051778810921,0.335189222203668,45.3221767269823,33.8258237366215,25.38221232897,29.7771328776696,28.8515699498443,28.8329436017183,27.2165323876069,4,4,65228745.2921,481619.825375,106,226,"211","211B","211Bb","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Maine-New Brunswick Lowlands",0,16118.3787885,6522.87647189,4
"31",2006,0.00796404730894507,0.000571745286961288,0.0133824972597938,0.000309886399488396,1.43819716081036,33.6630139373427,0.779504003061648,31.7149961534777,18.4557497547691,18.8009220766747,21.2994177077329,17.3776281708231,16.7568420733029,18.5534815595647,43,44,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5
"32",2006,0.0110686165264884,0.000577177431422001,0.00799881154385301,0.000164951745625363,1.52287314881079,21.1047325473565,0.435222464682041,48.965071527604,31.1081385037195,35.639424792372,36.298447308801,30.8269592906481,34.9770719283585,36.4432130744059,33,33,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6
"33",2006,-0.00164097737536458,6.14608196428211e-05,0.00189883934769039,2.86219716165525e-05,0.168387270849018,5.20234480106975,0.078417042187824,-133.364039114788,175.403542272035,145.072930340769,210.234601627336,177.192132611445,147.634811430079,212.931601397815,58,59,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8
"34",2006,0.00622737802377828,0.000593113531582773,0.0144323115723012,0.000318301319994116,1.46766623304869,35.7129204302234,0.787640265167335,37.3207976967975,23.4225247060176,22.219814727796,20.7652890696472,22.7428551070807,22.031467757833,20.2311432002468,24,24,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9
"35",2006,-0.00240396003412255,-0.000157377259688626,0.00120924061889022,5.51382504398404e-05,-0.218516840974983,1.67901919592022,0.0765589407697141,-126.883606557151,-67.8161689976621,134.983382747989,68.534809868991,-82.7237730270404,114.90660219142,61.768157577511,5,5,29490466371.9,973599.239888,310,523,"M211","M211A","M211Ad","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","White Mountains",1,677007.951605,273975.397697,13
"36",2006,0.0138598129140166,0.000971537025239767,0.0235047489514099,0.000545198141038351,2.57017502875053,62.1811801738125,1.44230699542527,18.518640975906,13.2296603260701,11.9641482449293,12.7931427278882,16.4613328928773,15.7115092009855,17.245294190756,10,10,685207574.065,410875.610594,318,537,"221","221A","221Al","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Lower New England","Sebago-Ossipee Hills and Plains",0,169318.481518,68520.7584363,14
"37",2006,0.026065394830488,0.00207101125076658,0.0625960237770033,0.00125088767668235,4.35032254366052,131.487887030942,2.62758826512608,0,0,NA,0,2.61530373914496e-06,0,0,1,1,31542035771.3,2677028.08296,646,790,"221","221B","221Ba","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Hudson Valley","Hudson Limestone Valley",1,724105.504392,293035.101094,22
"38",2006,0.000147957220918059,0.000256631876608764,0.0074735267244526,0.000252085932109853,0.521213757247733,15.1785701582259,0.511981042887275,5711.49647088407,169.182894542228,133.699540203528,124.104541163777,184.298515010181,149.320425999203,139.71301483914,15,15,1884267054.78,603656.767131,717,853,"211","211F","211Fc","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Northern Glaciated Allegheny Plateau","Eastern Allegheny Plateau",0,465612.531295,188426.706262,24
"39",2006,0.0249250338066542,0.00198270144495406,0.0645593166785365,0.00162253233753115,2.2590888082024,73.5588457580691,1.84871234849382,NA,4.12814201099744e-06,4.05698129473608e-06,0,0,0,0,1,1,9678455959.46,1084726.0397,729,881,"221","221B","221Bd","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Hudson Valley","Kittatinny-Shawangunk Ridges",1,222186.775929,89915.798114,25
"40",2006,0.00661407959624752,0.000549183982176683,0.00992411777826028,0.000385880355268625,1.30803172614481,23.6369983999022,0.91907951354817,30.529711866659,23.9826661000711,23.2661725511173,16.7664952270653,22.643989437642,19.3794771122539,13.2984219667016,52,52,61464507237.2,3032238.22779,762,918,"M221","M221A","M221Ac","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Northern Ridge and Valley",1,1411030.92831,571023.957443,26
"41",2006,0.00602975544238861,0.000474333979317627,0.0115783821541798,0.000331925001562531,1.21633870555346,29.6905450081363,0.851158138243031,46.2578185993267,27.9376971487585,23.1612615660896,24.9758295822113,24.0670510648171,19.3085324724721,20.8352242817055,9,9,290497429.995,267681.588271,791,951,"211","211F","211Fd","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Northern Glaciated Allegheny Plateau","Pocono Plateau",0,71783.4781289,29049.7429488,28
"42",2006,0.00819902427850466,0.00159889828377062,0.0747144268182962,0.00169804355094019,5.33245269926604,249.17854437981,5.6631100355733,0,NA,0,NA,2.14610565842608e-06,0,NA,1,1,541020981.278,379092.493115,821,990,"221","221A","221Am","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Lower New England","Reading Prong",0,133689.273097,54102.129344,29
"43",2006,0.00944073991414892,0.00105230519429898,0.0270044691721871,0.000789492917579198,1.99133224885245,51.1019717635639,1.49399880902744,40.2684839606385,29.2723510071058,56.1775682478332,52.7301105247411,26.3155609962602,51.4311056760661,48.7142618713259,10,10,2261728973,892052.281746,825,1003,"221","221D","221Da","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Northern Appalachian Piedmont","Gettysburg Piedmont Lowland",0,558885.403464,226172.898439,30
"44",2006,0.00574215172218118,0.000821604248696659,0.0210238956738318,0.000713944936388998,1.64795350123175,42.1692104686447,1.43201311273077,80.4814605773366,51.0095653008867,56.646402849667,41.9372776340334,49.1775456350563,55.3482080582432,40.1903958685991,21,21,60960932672.1,2714816.25174,827,1004,"M221","M221A","M221Ad","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Northern Great Valley",1,1399470.44702,566345.596647,31
"45",2006,0.00958259078437487,0.00112057352842298,0.0283642783340128,0.000585886099945499,2.27411866821198,57.5631435453568,1.18901123713592,19.2654445679674,8.57929070364185,7.5438753635214,8.29526294007866,8.92528448592428,9.69578456070499,10.2347985765516,110,110,66925662633.2,4001953.55157,937,1097,"M221","M221D","M221Da","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Northern Blue Ridge Mountains",1,1536401.80517,621759.751264,33
"46",2006,0.0143910308031659,0.00100471658934688,0.0263467257004634,0.000648164249305264,2.05481337747086,53.8834582765868,1.3256042394369,20.9484526484185,12.1035714021947,12.8151505885438,13.5327071276678,12.5985710099294,12.9723711597305,13.6360999563994,76,76,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"47",2006,0.0118658205562995,0.00122284625100191,0.0433117101704033,0.0009274939274651,2.36295001822614,83.6927833345417,1.79223004610157,47.3728358262385,19.501983290016,10.1640395664565,10.8229049152395,27.7737697003776,17.7963346958502,18.0039393079794,41,41,35366794325.2,2508208.44375,1022,1177,"221","221D","221De","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Northern Appalachian Piedmont","Northern Piedmont",1,811909.878907,328568.270786,35
"48",2006,0.0165225231365819,0.00224655070280177,0.108631393438171,0.00276352836516937,4.88248879146409,236.091515852068,6.00605018662831,1.35823916377043e-06,2.16275354825486e-06,1.65267422597733e-06,1.43553472311011e-06,4.63309975037495,4.63309975037539,4.63309975037524,1,2,73540579.7495,391677.050662,1041,1194,"221","221D","221Dd","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Northern Appalachian Piedmont","Triassic Basins",0,18172.3514826,7354.08973076,36
"49",2006,0.00787482289224572,0.000661158756596486,0.0147662915327659,0.000350889494193509,1.41445193917819,31.5903094145031,0.750676476031567,20.880553640152,17.3955793546288,22.67547250847,21.6370596345368,17.2684532204913,22.598798057887,21.6202982682574,120,120,67705985195.9,2552005.1041,1060,1206,"M221","M221A","M221Aa","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Ridge and Valley",1,1554315.54628,629009.18509,37
"50",2006,0.0207041338361256,0.00135862082847965,0.0327119273090065,0.000747455763703417,2.79600942546445,67.3203701605551,1.53824622486551,31.3788343244925,24.2046922184377,29.1843408595497,26.0075765084458,21.891085743022,26.645443254311,23.3521442451885,22,22,1465417881.38,756520.343672,1135,1289,"231","231I","231Ib","Humid Temperate","Subtropical","Southeastern Mixed Forest","Central Appalachian Piedmont","Lynchburg Belt",0,362112.572613,146541.759011,38
"51",2006,0.0130912996850315,0.00122530235770287,0.03549893425601,0.000829741375687239,2.90069230227084,84.0376129923327,1.96426980344979,11.2059671742303,14.7628816522729,19.4898438111641,16.9937397549159,14.0888262206424,15.9228776241568,13.7773570289168,6,6,203773157.609,683810.759135,1225,1359,"M221","M221C","M221Cb","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Cumberland Mountains","Eastern Coal Fields",0,50353.8357549,20377.4743617,39
"52",2006,-0.00138169477282409,0.000674722210845464,0.0274340386258775,0.000614541327901687,1.21751937668112,49.5040374701318,1.10892447656954,-89.2314092531349,8.69069388293029,5.61028650189901,4.38749280678303,11.722334488786,8.10251467094394,4.60298487298346,6,6,528512343.335,497240.891198,1391,1511,"M221","M221D","M221Db","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Central Blue Ridge Mountains",0,130598.19039,52851.2125532,41
"53",2006,0.00682109536992066,0.000658924484128727,0.0140656070062393,0.000307012292274025,1.6261886812634,34.713129439848,0.757689123306603,23.5806079121025,13.8242534521166,19.8816935313501,18.8694614121989,13.5660057904939,19.4033579224342,18.3684189070662,179,179,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"54",2006,0.00869972943058701,0.000971994465060476,0.0402977825511651,0.00108533923839847,2.06521947136039,85.6216451522027,2.3060457736583,0,0,NA,0,0,0,NA,1,1,47382559.6696,367672.584936,1521,1612,"221","221J","221Jc","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Holston Valley",0,11708.4878439,4738.25692275,44
"55",2006,0.00212800639629736,0.000356277414444054,0.0178165858506763,0.000408110066153036,0.793802305599903,39.6961647098917,0.909287814262166,160.99722096856,60.5427997167321,34.1452222056763,31.6292222637006,60.1544765581355,33.9209731569698,31.3082647598071,98,98,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"56",2006,0.00488804170413581,0.00067909477837978,0.024155313017197,0.000590642457404532,1.28841975805414,45.8289233611718,1.12060265561351,93.4641960485941,46.2105397151376,40.3432703717689,38.3987153418879,46.7276601573896,40.9192720488243,39.0219082663802,21,21,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"57",2006,0.00140661075711312,0.000412516866750428,0.0128678768902156,0.000350726208621765,1.02841658217715,32.0799924511164,0.87437066899125,341.219470741497,86.2728772509245,86.2904348919725,66.4016416160877,86.478188747428,86.298740485544,66.4338765423887,23,23,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"58",2006,0.016692922347112,0.00115789139352428,0.0295302664876943,0.000699025653553552,2.28262305777915,58.2148442972778,1.37803258898394,36.0522846865299,25.6927301001723,31.6800058640787,28.9444581754458,25.7905047407483,31.2693223895929,28.7403648086335,17,17,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
